
  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/

 :: Spring Boot ::               (v3.5.14)

2026-07-09T13:05:16.990+03:00  INFO 112275 --- [config_server] [           main] com.config.ConfigServerApplication       : Starting ConfigServerApplication using Java 21.0.11 with PID 112275 (/home/tahiry/Projects/React/siteEtec/backend/config_server/target/classes started by tahiry in /home/tahiry/Projects/React/siteEtec/backend/config_server)
2026-07-09T13:05:16.994+03:00  INFO 112275 --- [config_server] [           main] com.config.ConfigServerApplication       : No active profile set, falling back to 1 default profile: "default"
2026-07-09T13:05:19.005+03:00  INFO 112275 --- [config_server] [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=217b0c47-70a5-3821-be33-1a94a4fbfa7d
2026-07-09T13:05:19.481+03:00  INFO 112275 --- [config_server] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port 8888 (http)
2026-07-09T13:05:19.507+03:00  INFO 112275 --- [config_server] [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2026-07-09T13:05:19.507+03:00  INFO 112275 --- [config_server] [           main] o.apache.catalina.core.StandardEngine    : Starting Servlet engine: [Apache Tomcat/10.1.54]
2026-07-09T13:05:19.586+03:00  INFO 112275 --- [config_server] [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2026-07-09T13:05:19.589+03:00  INFO 112275 --- [config_server] [           main] w.s.c.ServletWebServerApplicationContext : Root WebApplicationContext: initialization completed in 2513 ms
2026-07-09T13:05:21.979+03:00  INFO 112275 --- [config_server] [           main] o.s.b.a.e.web.EndpointLinksResolver      : Exposing 1 endpoint beneath base path '/actuator'
2026-07-09T13:05:22.132+03:00  INFO 112275 --- [config_server] [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat started on port 8888 (http) with context path '/'
2026-07-09T13:05:22.209+03:00  INFO 112275 --- [config_server] [           main] com.config.ConfigServerApplication       : Started ConfigServerApplication in 6.055 seconds (process running for 6.958)
2026-07-09T13:05:23.959+03:00  INFO 112275 --- [config_server] [nio-8888-exec-1] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-07-09T13:05:23.960+03:00  INFO 112275 --- [config_server] [nio-8888-exec-1] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2026-07-09T13:05:23.963+03:00  INFO 112275 --- [config_server] [nio-8888-exec-1] o.s.web.servlet.DispatcherServlet        : Completed initialization in 3 ms
2026-07-09T13:05:37.090+03:00  INFO 112275 --- [config_server] [nio-8888-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/utilisateur.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:05:44.930+03:00  INFO 112275 --- [config_server] [nio-8888-exec-5] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/enseignant.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:05:55.973+03:00  INFO 112275 --- [config_server] [nio-8888-exec-7] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/discovery_service.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:06:27.129+03:00  INFO 112275 --- [config_server] [nio-8888-exec-8] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/api_gateway.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:06:56.702+03:00  INFO 112275 --- [config_server] [nio-8888-exec-9] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/note.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:07:09.961+03:00  INFO 112275 --- [config_server] [nio-8888-exec-2] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/actualite.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:07:21.538+03:00  INFO 112275 --- [config_server] [nio-8888-exec-4] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/empoiDuTemps.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:07:33.512+03:00  INFO 112275 --- [config_server] [nio-8888-exec-7] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/historique.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:07:45.524+03:00  INFO 112275 --- [config_server] [nio-8888-exec-9] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/matiere.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:07:57.601+03:00  INFO 112275 --- [config_server] [nio-8888-exec-1] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/organigramme.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
2026-07-09T13:08:09.869+03:00  INFO 112275 --- [config_server] [nio-8888-exec-3] o.s.c.c.s.e.NativeEnvironmentRepository  : Adding property source: Config resource 'file [/tmp/config-repo-16823014739200250511/presence.properties]' via location 'file:/tmp/config-repo-16823014739200250511/'
